day_Actual,month_Actual,year_Actual,Actual Price,Actual Harvest Season,day_Predicted,month_Predicted,year_Predicted,Predicted Price,Predicted Harvest Season
3,2,2018,33.23760377141533,Unknown,3,2,2018,33.57302396951318,Unknown
12,2,2018,36.07,Unknown,12,2,2018,34.580604144888504,Unknown
13,2,2018,36.07,Unknown,13,2,2018,34.320962857142874,Unknown
13,2,2018,36.07,Unknown,13,2,2018,34.320962857142874,Unknown
13,2,2018,36.07,Unknown,13,2,2018,34.320962857142874,Unknown
13,2,2018,36.07,Unknown,13,2,2018,34.320962857142874,Unknown
14,2,2018,30.83,Unknown,14,2,2018,35.5136866666667,Unknown
15,2,2018,36.07,Unknown,15,2,2018,34.79333222222224,Unknown
17,2,2018,33.23760377141533,Unknown,17,2,2018,33.3300854517977,Unknown
18,2,2018,33.23760377141533,Unknown,18,2,2018,33.23760377141528,Unknown
20,2,2018,36.07,Unknown,20,2,2018,34.91187682539683,Unknown
24,2,2018,33.23760377141533,Unknown,24,2,2018,33.40754754513036,Unknown
24,2,2018,33.23760377141533,Unknown,24,2,2018,33.40754754513036,Unknown
24,2,2018,33.23760377141533,Unknown,24,2,2018,33.40754754513036,Unknown
24,2,2018,33.23760377141533,Unknown,24,2,2018,33.40754754513036,Unknown
25,2,2018,33.23760377141533,Unknown,25,2,2018,33.23760377141528,Unknown
27,2,2018,36.07,Unknown,27,2,2018,34.544827301587304,Unknown
27,2,2018,36.07,Unknown,27,2,2018,34.544827301587304,Unknown
27,2,2018,36.07,Unknown,27,2,2018,34.544827301587304,Unknown
